Slow,,Medium,,Fast,
Strain,Stress,Strain,Stress,Strain,Stress
0,0,0,0,0,0
0.00915646,0.010936813,0.008717747,0.024057692,0.017179956,0.0393663
0.00380472,0.026244506,0.041222876,0.054678571,0.047299379,0.083107143
0.026598903,0.037177656,0.041665982,0.076548535,0.037457412,0.115914835
0.007227702,0.045927656,0.053202124,0.091857143,0.027806919,0.133410256
0.02360147,0.048115385,0.087396748,0.098419414,0.064813328,0.144343407
0.011902567,0.052489927,0.091506313,0.107164835,0.070880417,0.153093407
0.02964265,0.059052198,0.046021905,0.120289377,0.10429467,0.170588828
0.002593851,0.061236264,0.094411195,0.124660256,0.105845028,0.177151099
